gene,SNPs,hits,Z,top_candidate_p,Z_pVal
0,44,0,1.6029523987038043,1.0,0.5740262506190948
1,22,0,-0.3045010833207519,1.0,0.9138475729331559
2,10,0,0.5555515900039856,1.0,0.6044874832809144
3,22,0,1.5596583924688205,1.0,0.37255943331523533
4,23,0,-0.00403286829063313,1.0,0.8665593106598454
5,6,0,0.7359193251796506,1.0,0.47550234400843383
6,20,0,1.681252488981097,1.0,0.30786910219347896
7,1,0,-0.2976143451366386,1.0,0.8224392508572034
8,1,0,,1.0,
9,1,0,-0.8186557299703687,1.0,0.9361934989783439
10,1,0,-0.2009066274361117,1.0,0.792047365623447
11,1,0,,1.0,
12,1,0,,1.0,
13,1,0,0.10102345608592697,1.0,0.6795744405351563
14,21,0,1.09244777642229,1.0,0.5281764032896703
15,90,0,2.8330013472728135,1.0,0.5256996909853109
16,81,0,3.021646457738423,1.0,0.4341037933034311
17,96,1,4.071361185861283,0.6189528818954504,0.27543361187366244
18,87,0,2.9481566478790855,1.0,0.48350545842677317
19,133,2,4.414502133578866,0.38435030058532343,0.3392477458954166
20,78,1,4.251789303893522,0.5433902522560855,0.16264181109722387
21,118,1,4.434232389992247,0.6945409740716955,0.28988409322210407
22,189,1,3.7243012975856815,0.8503585943963844,0.5727300280101947
23,277,1,3.109247452733568,0.9382056307679741,0.6397441454534907
24,162,0,3.88283100795491,1.0,0.510759555525357
25,238,1,2.311015781600048,0.9085515572877007,0.8216701644497904
26,145,3,5.473258439538897,0.17802479745442065,0.18704325711780867
27,145,0,1.8420352947775716,1.0,0.8451914843425303
28,105,2,3.994662398497991,0.2827172186216344,0.3289345499433881
29,183,1,2.437795892640778,0.8410572908002125,0.7962193406006454
30,204,1,4.248586709713997,0.8712996589103447,0.4723517405917277
31,199,2,1.0327619894088333,0.5926339852293376,0.9420627330191045
32,237,6,6.870468130970898,0.03312805754467169,0.06638665783452491
33,111,1,2.8075311492371653,0.6722772425621963,0.6133833978512533
34,99,0,2.263439257605678,1.0,0.6893660871067602
35,1,0,0.16617264223456196,1.0,0.6523331027103718
36,78,1,2.186198235978289,0.5433902522560855,0.6244639181294909
37,200,0,2.0950808285762434,1.0,0.8485654796044684
38,143,1,-0.9899860034919066,0.762407445211707,0.9937442006488071
39,120,1,2.20125063198099,0.7006196086876687,0.7554484234277572
40,87,1,2.2956831549813965,0.5828791200667797,0.6386148678857613
41,95,0,3.214678422257571,1.0,0.4584161097143956
42,178,0,3.302453334738247,1.0,0.6463848033815942
43,80,2,1.6444853683540177,0.1908418660230089,0.7517172839297139
44,174,8,7.377188510823948,0.0004080816657257099,0.04285951652153941
45,219,3,2.0672869930346196,0.3748584125462342,0.8548637244614461
46,148,1,3.2297975664775613,0.7740518444660127,0.6191114932638621
47,196,1,3.2908954512937507,0.8605244312247751,0.6607159417353277
48,219,2,3.197096477034664,0.6444509338930238,0.6812487949256693
49,59,0,3.6290940745687945,1.0,0.16897661333300984
50,150,2,6.058383812229097,0.44301520179316806,0.12271824386781982
51,167,1,2.192457669197149,0.8133287232842966,0.8194206810966026
52,97,0,1.6923605839653209,1.0,0.7910692499977514
53,91,0,2.8774928053513467,1.0,0.5197196898123546
54,157,1,2.8695189895115027,0.7935924628825864,0.7019675573712172
55,108,0,2.289854460638616,1.0,0.7107388897403449
56,82,1,5.027330256082529,0.5613824981900892,0.08164454170265767
57,128,0,3.598497675861504,1.0,0.4947183246653317
58,51,0,1.514188612401851,1.0,0.6479324264414323
59,117,1,4.681557196140303,0.6914555293653489,0.24186962357429598
60,116,2,1.6342003141156145,0.32316027766095284,0.8362591964269585
61,142,3,3.293773409922699,0.17064123216869298,0.594205226096152
62,98,4,3.4167684413128545,0.017190956310220076,0.4252458481281548
63,162,0,2.360778610242794,1.0,0.7912657670734995
64,154,1,1.3136526746696653,0.7872742967709813,0.9074390400025472
65,121,1,1.730384518454245,0.703613412600792,0.8305252470178808
66,99,0,4.787489443012959,1.0,0.16481282810824904
67,90,0,1.916540172130524,1.0,0.7305978996201555
68,57,1,2.6914389387390174,0.43609480954761237,0.36374133659885577
69,121,0,2.5512374328282754,1.0,0.6937297917087205
