gene,SNPs,hits,Z,top_candidate_p,Z_pVal
0,44,0,1.8302975308868994,1.0,0.5018174795993346
1,22,0,-0.15767087301835808,1.0,0.8905285438617718
2,10,0,0.6345198220827193,1.0,0.5682979338938978
3,22,0,1.4963081827270006,1.0,0.38901432502231914
4,23,0,-0.24213033456580718,1.0,0.9069978838105813
5,6,0,0.7775388319208995,1.0,0.451826618775496
6,20,0,1.634033330595614,1.0,0.3176544954113647
7,1,0,-0.20372082636237404,1.0,0.7910885911829747
8,1,0,,1.0,
9,1,0,-0.7143362539596784,1.0,0.9196404774405189
10,1,0,-0.1755460145409918,1.0,0.7815721364181014
11,1,0,,1.0,
12,1,0,,1.0,
13,1,0,0.15694447034142964,1.0,0.6523726631115099
14,21,0,1.1487771215978506,1.0,0.5028150648871316
15,90,0,2.783650773861407,1.0,0.5364573982085362
16,81,0,3.0229222687712984,1.0,0.4314879685981676
17,96,0,3.8568810267717586,1.0,0.31693516875997807
18,87,0,2.7419813548511534,1.0,0.5321559371044278
19,133,1,4.574103760377364,0.7372874127497717,0.3085867427753627
20,78,2,3.5295584892595095,0.18363711766997076,0.2953840180880829
21,118,1,4.0766553082870685,0.6945409740716955,0.3602234254400887
22,189,0,3.585038594747488,1.0,0.6086693846059064
23,277,2,3.0930996050511013,0.7653062340278614,0.6689783667036397
24,162,0,4.024739268726794,1.0,0.4857784360547953
25,238,2,2.46258463875762,0.6887058061207585,0.8139687575149102
26,145,2,5.2648594407949805,0.42607142465339903,0.21773917966020706
27,145,0,1.8087237960076237,1.0,0.8531508465076127
28,105,1,4.156097959228713,0.651906885507558,0.29456732973535327
29,183,1,2.2633484243226096,0.8410572908002125,0.8275213522572964
30,204,0,4.23526411450208,1.0,0.4840535000119255
31,199,2,1.0066487496769279,0.5926339852293376,0.9482021553653621
32,237,6,6.648672473763066,0.03312805754467169,0.08510805104872787
33,111,0,3.1877418049718536,1.0,0.530043857980093
34,99,0,2.3567640522300968,1.0,0.6704887372235071
35,1,0,0.20926141705330892,1.0,0.6296899185214302
36,78,1,2.543097255253328,0.5433902522560855,0.5350791846183054
37,200,0,2.274788054226979,1.0,0.83459225371377
38,143,2,-0.639921676111356,0.41921819940639443,0.9903841969311037
39,120,1,2.3466511832192305,0.7006196086876687,0.731968559662359
40,87,1,2.44136439185652,0.5828791200667797,0.6043193524457607
41,95,0,3.4914123365120573,1.0,0.3927575975233122
42,178,0,3.0985292427037296,1.0,0.6915557750280288
