gene,SNPs,hits,Z,top_candidate_p,Z_pVal
0,44,0,2.1501776169714932,1.0,0.35292557106578915
1,22,0,-0.3650296283297249,1.0,0.911902367195571
2,10,0,0.27405891127948656,1.0,0.6763454332327395
3,22,0,1.4282185602329327,1.0,0.36455505126050425
4,23,0,-0.15173989713583927,1.0,0.8784616571752053
5,6,0,0.8236066396456353,1.0,0.3905837105776194
6,20,0,1.8561485866203307,1.0,0.20525486377678936
7,1,0,1.321388903187666,1.0,0.13979813374159733
8,1,0,,1.0,
9,1,0,-1.0557811586746073,1.0,0.9608508429531994
10,1,0,0.7147068591411221,1.0,0.36094012349770765
11,1,0,,1.0,
12,1,0,,1.0,
13,1,0,0.3280359738811662,1.0,0.5423327971332736
14,21,0,1.243185953055206,1.0,0.42045198915373516
15,90,2,3.720364244350533,0.2273298703413817,0.27062795856761157
16,81,2,2.7343983600140938,0.1944582152251407,0.4539514536424214
17,96,0,2.1959309098082715,1.0,0.6574346453221591
18,87,0,4.156530134010663,1.0,0.1756167922396661
19,133,0,1.797507526176438,1.0,0.8225621724406946
20,78,1,3.6823793467138115,0.5433902522560855,0.21714111240277756
21,118,3,3.378773728653322,0.11531885419846323,0.47088581307317534
22,189,6,5.814087753957397,0.012442180545773203,0.1845246168808835
23,277,3,3.2125211703261125,0.5242949537234618,0.6909409784478429
24,162,5,5.246877399536724,0.02412453131525976,0.22952203688426065
25,238,3,1.595563048304048,0.42555710396638796,0.9136985624013174
26,145,1,5.150252685645137,0.767135537051994,0.20848970522990273
27,145,2,2.8606364897430403,0.42607142465339903,0.6624068695469283
28,105,1,2.7932923259533005,0.651906885507558,0.555225847406734
29,183,0,1.8771056478690693,1.0,0.8649125301607536
30,204,0,2.9420612075884005,1.0,0.7309073697117664
31,199,0,0.7650260084749941,1.0,0.9569636934763519
32,237,0,3.2513990189006905,1.0,0.692836997122827
33,111,1,2.745739117651162,0.6722772425621963,0.5892010090020309
34,99,3,3.3618014121893607,0.07754322727795449,0.39408712576543636
35,1,0,0.16637653488739604,1.0,0.6177489644289704
36,78,1,2.3627038870692285,0.5433902522560855,0.533646639513109
